Text,Timestamp,Author,URL,Status,Sentiment_Score,Emotion,Key_Topics
Temenin mami masak2 d rumah abang dan kasih kejuatan ulang tahun buat seli,2025-09-03T16:04:45.406862,Ciska Ciska,,neutral,0.00,neutral,
Afif Yuliani and 62K others,2025-09-03T16:04:45.410180,Ciska Ciska,,neutral,0.00,neutral,
Otw cari pemula yang belum pernah dapet NAGA🐉🐉🐉🐉🌟🤗✅,2025-09-03T16:04:45.410488,Devii,,neutral,0.00,neutral,
Dey RQ and 3.4K others,2025-09-03T16:04:45.414555,Devii,,neutral,0.00,neutral,
Ayuha jua bgmatan nah mudhn kwa jua gajihan kya orang².. Intinya tetap semangat💪,2025-09-03T16:04:45.415028,Silvia Ananda,,neutral,0.00,neutral,
"Cerita hari kemarin ,pas nguping sepekar abu haji pupus terus di tlpn ...memastikan . Singkat cerita ,tuh kang Jajat suru",2025-09-03T16:04:45.416112,Ai Saadah,,neutral,0.00,neutral,
September S is one hundred million months 🤲🏻,2025-09-03T16:04:45.416499,Widiya Yanti Daily,,neutral,0.00,neutral,
